# US federal holidays, observed dates, for the pinned build window.
#
# SOURCE (license evidence, design §8 — the owner verifies, this build claims nothing):
#   https://www.opm.gov/policy-data-oversight/pay-leave/federal-holidays/
# The underlying schedule is statutory (5 U.S.C. 6103); OPM publishes the
# observed dates. Facts, no license claim beyond that.
#
# Committed rather than scraped: OPM publishes one HTML page per year with no
# machine-readable feed, so a build-time fetch would be an unpinnable scrape of
# a page whose markup changes. transform.sh RE-DERIVES this table from the
# statutory rules (3rd Monday of January, last Monday of May, ... plus the
# Saturday->Friday / Sunday->Monday observation rule) and fails if the two
# disagree — so a transcription error here cannot reach the artifact silently.
#
# observed_date  the date federal offices close (what a demand model cares about)
# statutory_date the date named in the statute
observed_date,statutory_date,holiday_name
2023-01-02,2023-01-01,New Year's Day
2023-01-16,2023-01-16,"Birthday of Martin Luther King, Jr."
2023-02-20,2023-02-20,Washington's Birthday
2023-05-29,2023-05-29,Memorial Day
2023-06-19,2023-06-19,Juneteenth National Independence Day
2023-07-04,2023-07-04,Independence Day
2023-09-04,2023-09-04,Labor Day
2023-10-09,2023-10-09,Columbus Day
2023-11-10,2023-11-11,Veterans Day
2023-11-23,2023-11-23,Thanksgiving Day
2023-12-25,2023-12-25,Christmas Day
2024-01-01,2024-01-01,New Year's Day
2024-01-15,2024-01-15,"Birthday of Martin Luther King, Jr."
2024-02-19,2024-02-19,Washington's Birthday
2024-05-27,2024-05-27,Memorial Day
2024-06-19,2024-06-19,Juneteenth National Independence Day
2024-07-04,2024-07-04,Independence Day
2024-09-02,2024-09-02,Labor Day
2024-10-14,2024-10-14,Columbus Day
2024-11-11,2024-11-11,Veterans Day
2024-11-28,2024-11-28,Thanksgiving Day
2024-12-25,2024-12-25,Christmas Day
